before_umap_x,before_umap_y,true_label,decision_value
11.852113,8.805377,0,-1.2235416258811627
4.9403963,5.860997,1,1.0002389706875427
5.193814,8.932674,0,-0.9997708368992324
5.94193,3.5812654,0,-1.0000698643658243
11.727621,4.7177825,0,-0.9999956745355137
12.616214,9.634874,1,1.1559093979109083
4.522303,8.011814,0,-0.9997381252497086
-3.76158,5.702995,1,1.0000455470785812
0.76659155,5.3466773,0,-0.9997985670410857
-2.296436,4.583499,0,-1.0000726658375985
11.374265,4.431194,0,-1.0003073925787862
-3.7443523,5.661463,0,-0.999879132309853
4.777614,3.6067207,0,-1.0002820582617873
5.997456,8.81922,0,-0.999646683345658
0.46292362,7.252543,0,-0.9997384616136369
4.6171002,5.642839,1,1.000033574651941
4.4224124,3.8752046,1,1.0001373217750995
3.0499203,6.292375,0,-0.6374493818510709
7.761659,6.224932,0,-1.1554323369571642
6.9634547,6.459301,1,1.454423952768545
4.191025,10.247098,0,-1.2572445362999276
9.270352,9.627479,1,1.456253620041079
-1.6130756,3.9504178,1,1.0965940592757484
13.69913,9.37252,1,1.1790256788658082
-2.1209087,4.6443596,1,1.1603101429360367
-2.7544436,4.7514515,0,-0.9998692412876584
-2.5575457,5.771512,1,0.9996961316564521
3.120805,6.7214303,0,-0.7024442302049941
3.8928118,7.619577,0,-0.9998374547222623
1.8922149,8.699457,1,1.275494975010412
-1.9917667,4.992396,0,-1.2135569786862737
12.395041,3.5867891,1,1.0002371061631385
-1.4032817,6.7536263,0,-1.0003162230092362
-0.57429427,5.786009,0,-0.8910197753956302
3.8673594,9.154886,1,1.0000100661647668
12.166673,4.5836368,0,-0.999987659502551
4.6315627,6.0639195,0,-1.0000539096679302
2.966907,4.1827116,1,0.9802702244217567
0.56615937,5.7518444,0,-0.9998636056788808
4.892278,7.4785805,0,-1.4428719549711968
5.390319,8.772987,1,1.6382170856961251
10.761622,10.343082,1,0.5694750212379973
3.0579667,8.084518,0,-0.9997382923207634
6.0237994,5.9635487,0,-0.9995541503169498
4.190734,3.9279716,1,0.999900474675196
1.5581512,6.5904055,0,-0.9997003120966403
-1.1545243,6.513766,0,-0.7691127430670025
10.8749,6.470746,0,-0.9997195024336212
-0.2800216,4.51487,0,-0.9997110122558116
1.9675355,4.820659,1,1.0934187502082389
11.685693,9.664701,0,-0.24322078224704452
-3.619173,5.685615,0,-0.7467381931970216
1.4863087,6.097248,0,-0.9998500350783114
4.916856,7.3108983,0,-1.6081557302280538
